Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10
Id;Waktu;Ketinggian;Temperatur;Kelembapan Relatif;Tekanan;Arah Angin;Kecepatan Angin;Lintang;Bujur
MAHESWARA_KOMBAT2019;06:27:32;0.0;24.6;75.3;1014.0;0.0;0.05;-7.643377;107.685532
MAHESWARA_KOMBAT2019;06:27:33;0.0;24.6;75.7;1014.0;0.0;0.0;-7.643377;107.685532
MAHESWARA_KOMBAT2019;06:27:34;0.0;24.6;75.2;1014.1;0.0;0.0;-7.643377;107.685532
MAHESWARA_KOMBAT2019;06:27:35;0.0;24.6;75.5;1014.1;0.0;0.0;-7.643377;107.685532
MAHESWARA_KOMBAT2019;06:27:36;0.0;24.6;75.5;1014.1;0.0;0.05;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:27:37;0.0;24.6;75.6;1014.1;0.0;0.0;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:27:38;0.0;24.6;75.3;1014.2;0.0;0.0;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:27:39;0.0;24.6;75.5;1014.2;0.0;0.0;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:27:40;0.0;24.6;75.5;1014.2;0.0;0.0;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:27:41;1.7;24.6;75.4;1013.6;0.0;0.0;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:27:42;0.0;24.6;75.7;1014.2;0.0;0.0;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:27:43;0.0;24.6;75.5;1014.2;0.0;0.0;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:27:44;0.0;24.6;75.3;1014.2;0.0;0.0;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:27:45;0.0;24.6;75.7;1014.2;0.0;0.0;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:27:46;0.0;24.6;74.9;1014.2;0.0;0.0;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:27:47;0.0;24.6;75.5;1014.1;0.0;0.0;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:27:48;0.0;24.6;75.5;1014.1;0.0;0.0;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:27:49;0.0;24.6;75.5;1014.2;0.0;0.0;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:27:50;0.0;24.6;75.4;1014.2;0.0;0.05;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:27:51;0.0;24.6;75.5;1014.0;0.0;0.0;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:27:52;0.0;24.6;75.5;1014.1;0.0;0.0;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:27:53;0.0;24.6;75.2;1014.1;0.0;0.05;-7.643375;107.685532
MAHESWARA_KOMBAT2019;06:27:56;0.0;24.6;75.8;1014.1;0.0;0.0;-7.643375;107.685532
MAHESWARA_KOMBAT2019;06:28:22;0.0;24.6;75.5;1014.0;0.0;0.0;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:28:25;0.0;24.6;75.8;1014.2;0.0;0.0;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:28:26;0.0;24.6;75.9;1014.1;0.0;0.0;-7.643376;107.685532
MAHESWARA_KOMBAT2019;06:28:27;0.0;24.6;75.6;1014.2;180.0;0.05;-7.643377;107.685532
MAHESWARA_KOMBAT2019;06:28:28;0.0;24.6;75.0;1014.2;0.0;0.0;-7.643377;107.685532
MAHESWARA_KOMBAT2019;06:28:29;0.0;24.6;75.5;1014.2;0.0;0.0;-7.643377;107.685532
MAHESWARA_KOMBAT2019;06:28:30;0.0;24.6;75.2;1014.2;180.0;0.05;-7.643377;107.685532
MAHESWARA_KOMBAT2019;06:28:31;0.0;24.6;75.9;1014.2;0.0;0.0;-7.643377;107.685532
MAHESWARA_KOMBAT2019;06:28:32;0.0;24.6;75.5;1014.1;0.0;0.0;-7.643377;107.685532
MAHESWARA_KOMBAT2019;06:28:33;0.0;24.6;75.5;1014.1;93.6;0.84;-7.643378;107.685539
MAHESWARA_KOMBAT2019;06:28:34;0.0;24.6;75.5;1014.2;0.0;0.0;-7.643378;107.685539
MAHESWARA_KOMBAT2019;06:28:35;0.0;24.6;75.4;1014.2;180.0;0.05;-7.643378;107.685539
MAHESWARA_KOMBAT2019;06:28:36;0.0;24.6;75.5;1014.2;0.0;0.0;-7.643378;107.685539
MAHESWARA_KOMBAT2019;06:28:37;0.0;24.6;75.5;1014.2;0.0;0.0;-7.643378;107.685539
MAHESWARA_KOMBAT2019;06:28:38;0.0;24.6;75.3;1014.2;180.0;0.05;-7.643379;107.685539
MAHESWARA_KOMBAT2019;06:28:39;0.0;24.6;75.3;1014.2;0.0;0.05;-7.643378;107.685539
MAHESWARA_KOMBAT2019;06:28:40;0.0;24.6;75.8;1014.2;180.0;0.05;-7.643379;107.685539
MAHESWARA_KOMBAT2019;06:28:41;0.0;24.6;75.5;1014.1;0.0;0.0;-7.643379;107.685539
MAHESWARA_KOMBAT2019;06:28:42;0.0;24.6;75.1;1014.1;0.0;0.0;-7.643379;107.685539
MAHESWARA_KOMBAT2019;06:28:43;0.0;24.6;75.5;1014.0;0.0;0.0;-7.643379;107.685539
MAHESWARA_KOMBAT2019;06:28:44;0.0;24.6;75.5;1014.2;0.0;0.0;-7.643379;107.685539
MAHESWARA_KOMBAT2019;06:29:10;0.0;24.6;75.1;1014.1;0.0;0.0;-7.643378;107.685532
MAHESWARA_KOMBAT2019;06:29:11;0.0;24.6;75.4;1014.1;0.0;0.0;-7.643378;107.685532
MAHESWARA_KOMBAT2019;06:29:13;0.0;24.6;75.4;1014.1;0.0;0.0;-7.643378;107.685532
MAHESWARA_KOMBAT2019;06:29:14;0.0;24.6;75.0;1014.2;0.0;0.0;-7.643378;107.685532
MAHESWARA_KOMBAT2019;06:29:15;0.0;24.6;75.3;1014.1;0.0;0.0;-7.643378;107.685532
MAHESWARA_KOMBAT2019;06:29:16;0.0;24.6;75.4;1014.1;0.0;0.0;-7.643378;107.685532
